312;19940321;01;22;30;31;33
311;19940317;02;15;16;25;27
310;19940314;08;18;19;25;28
309;19940310;08;15;23;25;26
308;19940307;01;06;07;22;27
307;19940303;05;08;28;31;35
323;19940428;03;16;18;23;24
322;19940425;05;09;15;31;35
321;19940421;06;11;15;26;35
320;19940418;13;14;21;29;32
319;19940414;08;12;32;33;35
318;19940411;04;13;18;24;31
317;19940407;04;15;19;25;27
316;19940404;03;08;15;31;35
332;19940530;02;04;19;22;24
331;19940526;08;11;20;28;30
330;19940523;01;04;18;20;25
329;19940519;10;12;21;22;25
328;19940516;04;07;24;29;33
327;19940512;06;08;19;31;32
326;19940509;14;17;25;26;33
325;19940505;01;18;30;32;35
324;19940502;06;14;25;30;31
341;19940630;08;17;28;30;34
340;19940627;06;08;16;18;25
339;19940623;15;16;22;26;29
338;19940620;07;20;28;32;33
337;19940616;03;08;12;19;33
336;19940613;08;09;15;26;29
335;19940609;06;17;23;29;30
334;19940606;01;03;20;21;23
333;19940602;01;09;28;31;34
349;19940728;14;17;18;30;35
348;19940725;05;14;21;22;25
347;19940721;02;12;13;14;25
346;19940718;05;12;23;25;29
345;19940714;11;24;32;33;34
344;19940711;07;10;16;26;29
343;19940707;04;07;16;23;30
342;19940704;06;20;25;26;32
358;19940829;02;04;06;10;30
357;19940825;01;05;13;20;23
356;19940822;12;15;22;24;35
355;19940818;04;08;12;20;35
354;19940815;01;04;13;20;21
353;19940811;04;09;26;28;35
352;19940808;03;04;26;28;35
351;19940804;09;20;25;30;31
350;19940801;01;08;20;23;27
367;19940929;01;05;09;24;30
366;19940926;02;04;06;09;13
365;19940922;12;13;16;24;27
364;19940919;08;25;27;31;34
363;19940915;01;09;10;13;15
362;19940912;04;05;14;16;29
361;19940908;01;12;13;22;24
360;19940905;12;22;26;31;35
359;19940901;07;27;30;31;34
376;19941031;03;08;11;17;31
375;19941027;04;12;15;19;30
374;19941024;06;10;25;27;32
373;19941020;01;08;14;20;28
372;19941017;05;09;15;17;20
371;19941013;04;12;15;23;30
370;19941010;13;24;27;30;34
369;19941006;07;15;17;23;27
368;19941003;03;11;16;18;30
384;19941128;03;10;14;17;21
383;19941124;08;12;14;22;30
382;19941121;07;08;09;24;35
381;19941117;01;14;17;21;22
380;19941114;22;23;25;27;35
379;19941110;03;08;20;24;26
378;19941107;02;11;18;22;30
377;19941103;01;10;21;22;29
402;19950130;08;16;20;28;30
401;19950126;06;10;17;25;35
400;19950123;01;31;32;33;34
399;19950119;04;08;11;23;25
398;19950116;07;12;18;20;31
397;19950112;05;15;22;32;35
396;19950109;03;07;17;31;35
395;19950105;07;09;10;26;27
394;19950102;01;08;10;15;17
410;19950227;09;10;23;24;35
409;19950223;15;18;20;25;33
408;19950220;15;18;27;29;35
407;19950216;02;04;07;21;22
406;19950213;11;18;22;26;31
405;19950209;01;02;07;19;22
404;19950206;09;12;15;20;30
403;19950202;01;12;13;17;21
419;19950330;06;07;15;18;25
418;19950327;04;12;16;27;30
417;19950323;11;18;22;24;34
416;19950320;07;12;16;22;33
415;19950316;08;12;20;32;35
414;19950313;09;14;20;28;32
413;19950309;03;06;13;17;34
412;19950306;04;12;19;30;31
411;19950302;09;19;22;27;32
427;19950427;01;11;12;25;29
426;19950424;17;21;22;23;28
425;19950420;03;16;20;23;28
424;19950417;02;16;22;28;33
423;19950413;03;06;09;18;26
422;19950410;02;08;17;25;30
